Station_ID	Station_Name	State	Latitude	Longitude	Elevation	tl01	tl02	tl03	tl04	tl05	tl06	tl07	tl08	tl09	tl10	tl11	tl12	t01	t02	t03	t04	t05	t06	t07	t08	t09	t10	t11	t12	pp01	pp02	pp03	pp04	pp05	pp06	pp07	pp08	pp09	pp10	pp11	pp12	ss01	ss02	ss03	ss04	ss05	ss06	ss07	ss08	ss09	ss10	ss11	ss12	Status
AQC00914000	AASUFOU	AS	-14.31	-170.76	408.40																									53.74	51.35	46.73	45.21	46.22	33.17	32.35	35.12	39.87	50.87	51.71	56.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
AQW00061705	PAGO PAGO WSO AP	AS	-14.33	-170.71	3.70	25.16	25.27	25.27	25.16	25.16	24.94	24.61	24.61	24.83	24.94	25.16	25.16	28.02	28.19	28.22	28.00	27.63	27.19	26.80	26.83	27.22	27.41	27.75	27.97	36.77	32.15	29.61	27.99	26.97	14.88	16.43	16.00	19.38	25.67	28.70	36.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
CAW00064757	EGBERT 1 W	ON	44.23	-79.78	246.00	-11.77	-10.77	-6.55	0.72	6.33	11.66	14.00	12.72	8.77	3.38	-1.33	-7.55	-7.27	-5.91	-1.36	6.16	12.61	17.36	20.02	18.91	14.94	8.61	2.55	-3.69	4.06	5.20	5.08	7.26	9.11	7.87	9.29	6.04	5.81	5.30	8.58	6.90													TP
CQC00914080	CAPITOL HILL 1	MP	15.21	145.74	252.10	23.00	22.72	22.83	23.27	24.16	24.05	23.94	24.00	23.88	23.83	23.88	23.38	25.16	24.61	24.69	25.83	26.63	26.75	26.44	26.44	26.33	26.27	26.19	25.41	9.75	11.22	6.09	12.77	9.65	12.80	25.80	31.54	29.59	27.91	19.71	14.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
CQC00914801	ROTA AP	MP	14.17	145.24	179.20	23.33	22.94	23.38	23.88	24.22	24.50	24.11	23.88	23.77	23.94	24.05	24.00	26.00	25.69	26.11	26.72	27.25	27.61	27.25	27.08	27.08	27.11	27.00	26.66	13.30	13.23	7.74	11.83	10.18	13.20	27.20	33.32	35.20	31.14	21.28	14.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
CQC00914855	SAIPAN INTL AP	MP	15.11	145.72	65.50																									9.04	6.60	4.90	5.89	7.03	11.43	21.00	30.86	25.93	28.75	15.03	10.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
CQC00914874	TINIAN	MP	15.00	145.63	81.70																									10.43	8.38	6.09	6.88	8.53	12.82	26.49	31.62	31.64	28.44	17.70	10.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
FMC00914213	GILMAN	FM	9.45	138.06	15.20																									18.44	14.90	16.38	12.36	21.36	31.95	38.02	34.77	31.52	26.39	23.31	25.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
FMC00914325	KAPINGAMARANGI	FM	1.08	154.80	2.70																									25.93	26.08	29.28	30.78	29.54	33.45	33.42	26.69	23.57	20.57	24.58	22.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
FMC00914395	KOSRAE	FM	5.35	162.95	2.10	22.77	22.83	22.83	23.00	23.05	22.83	22.55	22.50	22.33	22.44	22.33	22.50	26.69	26.80	26.83	26.91	27.00	26.97	26.91	27.02	27.00	27.02	26.88	26.66	46.07	34.54	40.08	49.58	46.93	39.57	40.71	37.61	39.37	29.26	39.44	47.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMC00914419	LUKUNOCH	FM	5.51	153.81	1.50	23.88	23.94	23.94	23.94	24.05	23.88	23.77	23.88	23.94	23.94	23.94	24.00	27.61	27.61	27.66	27.66	27.75	27.72	27.63	27.66	27.80	27.75	27.86	27.72	23.36	24.91	27.05	30.12	32.46	30.40	41.80	36.01	26.41	28.57	25.95	28.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMC00914429	LUWEECH	FM	9.48	138.08	10.10																									19.48	16.05	14.40	14.90	21.20	33.73	39.09	37.56	36.01	29.64	24.53	23.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
FMC00914446	MAAP	FM	9.60	138.17	14.90	25.00	24.83	24.88	25.27	25.50	25.00	24.44	24.22	24.38	24.55	24.94	25.16	27.50	27.44	27.69	28.27	28.41	28.02	27.47	27.25	27.44	27.63	27.91	27.77	15.08	15.13	12.24	13.63	19.96	26.67	34.54	38.88	34.13	27.50	22.68	21.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMC00914482	METALANIM	FM	6.84	158.30	9.10	22.66	22.50	22.66	22.55	22.11	21.77	21.27	21.77	21.27	21.33	21.61	22.22	26.19	26.13	26.33	26.36	26.38	26.27	26.05	26.44	26.22	26.25	26.25	26.16	27.63	21.89	28.11	43.53	39.95	34.97	35.53	33.32	31.75	34.21	36.04	37.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMC00914585	NORTH FANIF	FM	9.57	138.11	3.00																									18.41	15.03	12.97	14.24	20.75	24.38	35.43	35.17	32.30	28.75	22.45	25.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
FMC00914590	NUKUORO	FM	3.85	155.01	2.40																									37.74	33.78	39.62	39.19	37.10	32.66	36.98	32.46	27.99	26.18	26.84	27.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
FMC00914705	PAIES-KITTI	FM	6.90	158.15	45.70																									40.15	30.27	38.43	51.53	50.29	50.11	46.99	57.83	51.40	50.97	40.84	35.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
FMC00914720	PINGELAP	FM	6.21	160.70	2.40	23.38	23.72	23.55	23.33	23.61	23.55	23.22	23.44	23.38	23.50	23.16	23.66	27.52	27.88	27.77	27.72	27.88	27.83	27.61	27.69	27.69	27.72	27.55	27.75	32.28	26.46	31.75	31.39	33.62	32.91	33.27	33.24	36.16	31.47	33.22	32.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMC00914761	POLOWAT	FM	7.35	149.20	2.10	23.11	23.11	23.27	23.11	23.11	22.94	22.77	22.72	22.83	22.94	23.16	23.16	27.50	27.52	27.75	27.58	27.63	27.55	27.50	27.36	27.47	27.63	27.77	27.63	19.48	13.69	14.55	22.32	25.80	27.45	26.67	23.77	22.42	23.82	18.92	16.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMC00914808	RUMUNG	FM	9.62	138.15	19.80																									16.71	14.80	13.23	13.61	18.05	26.49	40.08	41.27	32.96	25.95	21.84	23.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
FMC00914831	TAMIL	FM	9.55	138.15	21.30	23.88	23.88	24.27	24.50	24.72	24.22	24.00	24.05	24.00	23.94	24.38	24.22	26.75	26.69	27.11	27.47	27.66	27.30	27.11	27.08	27.05	27.25	27.33	27.02	16.20	13.71	12.75	13.79	20.14	32.81	37.13	37.49	32.13	28.21	22.07	22.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMC00914892	ULITHI	FM	10.03	139.80	1.80	25.16	25.00	25.33	25.83	25.83	25.61	25.38	25.27	25.50	25.44	25.83	25.50	27.88	27.80	28.02	28.50	28.58	28.30	28.05	28.05	28.30	28.52	28.61	28.19	14.14	12.19	11.81	11.88	15.49	26.03	30.09	39.64	29.71	26.11	22.63	18.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMC00914898	UTWA	FM	5.27	162.97	4.00	24.00	24.27	24.22	24.05	24.22	24.00	23.88	23.83	24.00	24.05	24.16	23.88	27.27	27.58	27.50	27.30	27.52	27.36	27.47	27.44	27.50	27.61	27.61	27.36	43.86	32.51	40.10	51.94	45.49	41.78	37.74	35.83	38.22	32.53	37.49	44.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMC00914911	WOLEAI ATOLL	FM	7.38	143.91	2.10	24.11	23.83	23.66	23.88	23.88	23.72	23.61	23.44	23.38	23.61	23.61	24.05	27.50	27.30	27.27	27.61	27.55	27.36	27.36	27.25	27.30	27.47	27.55	27.55	19.10	15.54	20.82	21.41	27.68	31.69	31.95	37.94	27.76	25.50	21.74	24.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMW00040308	YAP ISLAND WSO AP	FM	9.48	138.08	13.40	25.27	25.16	25.27	25.66	25.94	25.50	25.33	25.27	25.27	25.33	25.44	25.55	27.88	27.86	28.11	28.52	28.72	28.30	28.08	27.97	28.08	28.25	28.27	28.13	18.54	15.21	13.56	14.52	21.59	33.52	38.20	39.26	34.95	31.11	23.08	23.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMW00040504	POHNPEI WSO	FM	6.96	158.21	36.60	23.61	23.72	23.72	23.61	23.55	23.33	22.77	22.61	22.44	22.44	22.77	23.33	27.02	27.16	27.30	27.30	27.33	27.25	27.11	27.19	27.13	27.13	27.16	27.08	33.55	25.45	35.89	45.08	46.60	40.05	40.86	37.64	37.84	38.78	38.10	40.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
FMW00040505	CHUUK WSO AP	FM	7.45	151.83	1.50	24.94	24.94	25.11	25.11	25.16	24.88	24.66	24.50	24.61	24.55	24.88	25.05	27.33	27.38	27.58	27.66	27.83	27.63	27.50	27.38	27.47	27.50	27.66	27.55	25.75	18.44	22.37	31.03	29.79	31.01	31.47	34.23	32.63	28.95	28.01	27.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
GQC00914001	AGAT	GU	13.38	144.65	3.00																									9.90	9.09	6.57	8.22	11.60	18.08	30.98	44.70	30.27	28.95	22.02	17.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
GQC00914025	ANDERSEN AFB GUAM	GU	13.57	144.92	190.20	24.33	24.11	24.44	25.05	25.61	25.66	25.05	24.88	24.94	25.16	25.27	24.94	26.27	26.13	26.52	27.19	27.72	27.86	27.33	27.22	27.33	27.38	27.19	26.77	12.62	13.00	6.19	9.77	10.18	18.26	27.66	37.43	30.88	27.99	23.41	15.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
GQC00914156	DEDEDO	GU	13.52	144.84	106.70																									12.82	10.84	7.44	9.95	11.83	19.63	32.48	40.03	33.55	26.82	24.13	15.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
GQC00914468	MANGILAO	GU	13.45	144.79	18.30																									12.11	9.72	6.68	7.79	10.64	17.19	29.36	39.14	30.73	27.96	23.21	14.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
GQC00914950	YIGO	GU	13.54	144.89	160.00																									12.57	9.67	8.96	7.31	9.09	11.78	22.19	30.58	22.25	20.04	18.18	11.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
GQW00041415	GUAM INTL AP	GU	13.48	144.79	77.40	24.16	23.88	24.22	24.72	25.11	25.22	24.77	24.61	24.55	24.72	25.11	24.88	26.77	26.63	27.05	27.72	28.08	28.13	27.69	27.44	27.47	27.58	27.69	27.33	12.59	11.50	7.03	9.09	10.92	18.00	30.83	43.56	35.99	29.97	23.29	15.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
JQW00021603	JOHNSTON ISLAND	UM	16.73	-169.51	3.00	23.00	23.00	23.05	23.44	24.11	25.00	25.38	25.72	25.61	25.27	24.44	23.50	25.72	25.77	25.88	26.36	27.02	27.91	28.33	28.66	28.55	28.05	27.02	26.16	4.85	3.35	5.43	4.67	2.56	2.28	3.37	5.15	6.88	9.29	12.39	6.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
MQW00022701	MIDWAY HENDERSON FLD AP	UM	28.20	-177.38	5.50																									11.96	9.65	6.80	8.48	5.46	3.83	7.13	10.71	11.30	9.09	6.90	7.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	PS
PSC00914519	NEKKEN FORESTRY	PW	7.45	134.50	31.10	22.11	22.27	22.27	22.66	22.94	22.88	23.00	23.16	23.05	22.83	22.77	22.61	26.11	26.16	26.33	26.91	27.00	26.69	26.55	26.66	26.80	26.61	26.75	26.58	26.39	22.86	22.60	21.53	32.15	45.21	42.46	33.45	31.69	31.54	29.54	29.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
PSC00914712	PELELIU	PW	7.03	134.26	3.00	24.38	24.33	24.44	24.66	24.77	24.22	24.22	24.50	24.61	24.55	24.61	24.50	26.16	26.02	26.33	26.77	26.77	26.22	26.22	26.44	26.66	26.72	26.83	26.41																									T
PSW00040309	KOROR WSO	PW	7.33	134.48	28.70	24.61	24.50	24.61	24.94	25.00	24.66	24.66	25.00	25.00	25.05	25.00	24.83	27.44	27.36	27.61	27.97	27.97	27.55	27.36	27.50	27.63	27.80	28.00	27.75	28.16	24.23	21.00	20.80	31.80	45.74	46.02	35.35	30.70	30.63	30.22	30.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	TPS
