ID	StationNumber	lat	lon	elev	state	station_Name	Field7	Field8	Field9	Field10	StationID
1	011084	31.05	-87.05	25.90	AL	BREWTON 3 SSE	------	------	------	6	USH00011084
2	012813	30.54	-87.88	7.00	AL	FAIRHOPE 2 NE	------	------	------	6	USH00012813
3	013160	32.83	-88.13	38.10	AL	GAINESVILLE LOCK	011694	------	------	6	USH00013160
4	013511	32.70	-87.58	67.10	AL	GREENSBORO	------	------	------	6	USH00013511
5	013816	31.87	-86.25	132.00	AL	HIGHLAND HOME	------	------	------	6	USH00013816
6	015749	34.74	-87.59	164.60	AL	MUSCLE SHOALS AP	------	------	------	6	USH00015749
7	017157	34.17	-86.81	243.80	AL	SAINT BERNARD	------	------	------	6	USH00017157
8	017304	34.67	-86.05	187.50	AL	SCOTTSBORO	------	------	------	6	USH00017304
9	017366	32.41	-87.01	44.80	AL	SELMA	------	------	------	6	USH00017366
10	018024	33.41	-86.13	136.60	AL	TALLADEGA	------	------	------	6	USH00018024
11	018178	31.54	-87.88	118.90	AL	THOMASVILLE	------	------	------	6	USH00018178
12	018323	31.80	-85.97	165.20	AL	TROY	------	------	------	6	USH00018323
13	018380	33.21	-87.61	51.50	AL	TUSCALOOSA ACFD	018385	018454	------	6	USH00018380
14	018438	32.01	-85.74	134.10	AL	UNION SPRINGS 9 S	------	------	------	6	USH00018438
15	018469	34.56	-85.61	323.70	AL	VALLEY HEAD	------	------	------	6	USH00018469
16	020080	32.36	-112.86	539.50	AZ	AJO	------	------	------	7	USH00020080
17	021026	33.37	-112.58	271.30	AZ	BUCKEYE	------	------	------	7	USH00021026
18	021248	36.15	-109.53	1709.90	AZ	CANYON DE CHELLY	021634	------	------	7	USH00021248
19	021514	33.20	-111.68	434.30	AZ	CHANDLER HEIGHTS	025467	------	------	7	USH00021514
20	021614	34.34	-111.69	807.70	AZ	CHILDS	------	------	------	7	USH00021614
21	023160	35.26	-111.74	2239.40	AZ	FT VALLEY	------	------	------	7	USH00023160
22	023596	36.05	-112.15	2068.10	AZ	GRAND CANYON NP 2	023591	023595	------	7	USH00023596
23	024089	34.90	-110.15	1549.90	AZ	HOLBROOK	------	------	------	7	USH00024089
24	024645	35.20	-114.01	1078.70	AZ	KINGMAN #2	024639	------	------	7	USH00024645
25	024849	36.86	-111.60	978.40	AZ	LEES FERRY	------	------	------	7	USH00024849
26	025512	33.40	-110.87	1085.10	AZ	MIAMI	------	------	------	7	USH00025512
27	026250	34.15	-114.28	128.00	AZ	PARKER	------	------	------	7	USH00026250
28	026353	31.93	-109.83	1325.90	AZ	PEARCE SUNSITES	022669	022659	------	7	USH00026353
29	026796	34.57	-112.43	1586.50	AZ	PRESCOTT	------	------	------	7	USH00026796
30	027281	33.67	-111.15	672.10	AZ	ROOSEVELT 1 WNW	------	------	------	7	USH00027281
31	027370	33.08	-111.74	391.70	AZ	SACATON	------	------	------	7	USH00027370
32	027390	32.81	-109.68	900.40	AZ	SAFFORD AGRICULTRL CTR	027388	------	------	7	USH00027390
33	027435	34.51	-109.40	1764.80	AZ	SAINT JOHNS	------	------	------	7	USH00027435
34	027716	35.33	-112.87	1600.20	AZ	SELIGMAN	------	------	------	7	USH00027716
35	028619	31.70	-110.05	1405.10	AZ	TOMBSTONE	------	------	------	7	USH00028619
36	028815	32.22	-110.95	742.20	AZ	TUCSON WFO	------	------	------	7	USH00028815
37	029271	33.81	-109.98	1560.60	AZ	WHITERIVER 1 SW	------	------	------	7	USH00029271
38	029287	33.97	-112.74	638.60	AZ	WICKENBURG	------	------	------	7	USH00029287
39	029359	35.24	-112.19	2057.40	AZ	WILLIAMS	------	------	------	7	USH00029359
40	029652	32.61	-114.63	58.20	AZ	YUMA CITRUS STN	------	------	------	7	USH00029652
41	030936	34.88	-91.21	56.40	AR	BRINKLEY	------	------	------	6	USH00030936
42	031596	35.08	-92.42	96.00	AR	CONWAY	------	------	------	6	USH00031596
43	031632	36.41	-90.58	91.40	AR	CORNING	------	------	------	6	USH00031632
44	032356	36.41	-93.79	432.80	AR	EUREKA SPRINGS 3 WNW	------	------	------	6	USH00032356
45	032444	36.10	-94.17	387.10	AR	FAYETTEVILLE EXP STN	022442	------	------	6	USH00032444
46	032930	36.42	-94.44	384.00	AR	GRAVETTE	------	------	------	6	USH00032930
47	034572	36.49	-91.53	153.00	AR	MAMMOTH SPRING	------	------	------	6	USH00034572
48	034756	34.57	-94.24	344.40	AR	MENA	------	------	------	6	USH00034756
49	035186	35.60	-91.27	69.50	AR	NEWPORT	------	------	------	6	USH00035186
50	035512	35.51	-93.86	253.00	AR	OZARK 2	035508	------	------	6	USH00035512
51	035754	34.22	-92.01	65.50	AR	PINE BLUFF	------	------	------	6	USH00035754
52	035820	36.26	-90.96	96.00	AR	POCAHONTAS 1	------	------	------	6	USH00035820
53	035908	33.82	-93.38	93.90	AR	PRESCOTT 2 NNW	------	------	------	6	USH00035908
54	036253	33.81	-91.27	45.70	AR	ROHWER 2 NNE	227582	------	------	6	USH00036253
55	036928	35.30	-93.63	152.40	AR	SUBIACO	------	------	------	6	USH00036928
56	040693	37.87	-122.25	94.50	CA	BERKELEY	------	------	------	8	USH00040693
57	040924	33.61	-114.59	81.70	CA	BLYTHE	------	------	------	8	USH00040924
58	041048	32.95	-115.55	-30.50	CA	BRAWLEY 2 SW	------	------	------	8	USH00041048
59	041614	41.53	-120.17	1423.40	CA	CEDARVILLE	------	------	------	8	USH00041614
60	041715	39.69	-121.82	56.40	CA	CHICO UNIV FARM	------	------	------	8	USH00041715
61	041758	32.64	-117.08	17.10	CA	CHULA VISTA	------	------	------	8	USH00041758
62	041912	39.09	-120.94	725.40	CA	COLFAX	------	------	------	8	USH00041912
63	042239	32.98	-116.58	1414.30	CA	CUYAMACA	------	------	------	8	USH00042239
64	042294	38.53	-121.77	18.30	CA	DAVIS 2 WSW EXP	------	------	------	8	USH00042294
65	042319	36.46	-116.86	-59.10	CA	DEATH VALLEY	043603	------	------	8	USH00042319
66	042728	38.33	-120.67	217.90	CA	ELECTRA P H	------	------	------	8	USH00042728
67	042910	40.80	-124.16	6.10	CA	EUREKA WFO WOODLEY IS	------	------	------	8	USH00042910
68	042941	34.70	-118.42	932.70	CA	FAIRMONT	------	------	------	8	USH00042941
69	043161	39.50	-123.75	37.50	CA	FT BRAGG 5 N	------	------	------	8	USH00043161
70	043257	36.78	-119.71	101.50	CA	FRESNO YOSEMITE AP	------	------	------	8	USH00043257
71	043747	36.32	-119.63	74.70	CA	HANFORD 1 S	------	------	------	8	USH00043747
72	043761	41.80	-123.37	341.40	CA	HAPPY CAMP RS	------	------	------	8	USH00043761
73	043875	38.61	-122.87	32.90	CA	HEALDSBURG	------	------	------	8	USH00043875
74	044232	36.79	-118.20	1204.00	CA	INDEPENDENCE	------	------	------	8	USH00044232
75	044259	33.70	-116.21	-6.40	CA	INDIO FIRE STN	------	------	------	8	USH00044259
76	044713	39.31	-120.63	1571.50	CA	LAKE SPAULDING	------	------	------	8	USH00044713
77	044890	36.38	-119.02	156.40	CA	LEMON COVE	------	------	------	8	USH00044890
78	044997	37.69	-121.76	146.30	CA	LIVERMORE	------	------	------	8	USH00044997
79	045032	38.10	-121.28	12.20	CA	LODI	------	------	------	8	USH00045032
80	045385	39.14	-121.58	17.40	CA	MARYSVILLE	------	------	------	8	USH00045385
81	045532	37.28	-120.51	46.60	CA	MERCED	------	------	------	8	USH00045532
82	045983	41.32	-122.30	1094.20	CA	MT SHASTA	------	------	------	8	USH00045983
83	046074	38.27	-122.26	10.70	CA	NAPA STATE HOSPITAL	------	------	------	8	USH00046074
84	046118	34.76	-114.61	271.30	CA	NEEDLES AP	046115	------	------	8	USH00046118
85	046175	33.60	-117.88	3.00	CA	NEWPORT BEACH HARBOR	040395	------	------	8	USH00046175
86	046399	34.44	-119.22	227.10	CA	OJAI	------	------	------	8	USH00046399
87	046506	39.74	-122.19	77.40	CA	ORLAND	------	------	------	8	USH00046506
88	046508	41.30	-123.53	122.80	CA	ORLEANS	------	------	------	8	USH00046508
89	046719	34.14	-118.14	263.30	CA	PASADENA	------	------	------	8	USH00046719
90	046730	35.62	-120.68	213.40	CA	PASO ROBLES	------	------	------	8	USH00046730
91	046826	38.25	-122.60	6.10	CA	PETALUMA AP	------	------	------	8	USH00046826
92	047195	39.93	-120.94	1042.40	CA	QUINCY	------	------	------	8	USH00047195
93	047304	40.51	-122.29	151.50	CA	REDDING MUNI AP	047296	047300	------	8	USH00047304
94	047306	34.05	-117.18	401.70	CA	REDLANDS	------	------	------	8	USH00047306
95	047851	35.30	-120.66	96.00	CA	SAN LUIS OBISPO POLY	------	------	------	8	USH00047851
96	047902	34.41	-119.68	1.50	CA	SANTA BARBARA	------	------	------	8	USH00047902
97	047916	36.99	-121.99	39.60	CA	SANTA CRUZ	------	------	------	8	USH00047916
98	047965	38.43	-122.69	53.00	CA	SANTA ROSA	------	------	------	8	USH00047965
99	048702	40.41	-120.66	1275.30	CA	SUSANVILLE 2SW	------	------	------	8	USH00048702
100	048758	39.16	-120.14	1898.90	CA	TAHOE CITY	------	------	------	8	USH00048758
101	048839	35.02	-118.74	434.30	CA	TEJON RANCHO	------	------	------	8	USH00048839
102	049087	33.70	-117.75	71.60	CA	TUSTIN IRVINE RCH	------	------	------	8	USH00049087
103	049122	39.14	-123.21	193.90	CA	UKIAH	------	------	------	8	USH00049122
104	049200	38.39	-121.96	33.50	CA	VACAVILLE	------	------	------	8	USH00049200
105	049452	35.59	-119.35	105.20	CA	WASCO	------	------	------	8	USH00049452
106	049490	40.72	-122.93	599.80	CA	WEAVERVILLE	------	------	------	8	USH00049490
107	049699	39.52	-122.30	71.00	CA	WILLOWS 6 W	------	------	------	8	USH00049699
108	049855	37.75	-119.58	1224.70	CA	YOSEMITE PARK HQ	------	------	------	8	USH00049855
109	049866	41.70	-122.64	800.10	CA	YREKA	------	------	------	8	USH00049866
110	050848	39.99	-105.26	1671.50	CO	BOULDER	------	------	------	7	USH00050848
111	051294	38.46	-105.22	1635.60	CO	CANON CITY	------	------	------	7	USH00051294
112	051528	39.22	-105.27	2097.00	CO	CHEESMAN	------	------	------	7	USH00051528
113	051564	38.82	-102.34	1295.40	CO	CHEYENNE WELLS	------	------	------	7	USH00051564
114	051741	39.24	-107.96	1822.70	CO	COLLBRAN	------	------	------	7	USH00051741
115	052184	37.67	-106.32	2396.90	CO	DEL NORTE 2E	------	------	------	7	USH00052184
116	052281	39.62	-106.03	2763.00	CO	DILLON 1 E	------	------	------	7	USH00052281
117	052446	38.47	-102.78	1284.70	CO	EADS	------	------	------	7	USH00052446
118	053005	40.61	-105.13	1525.20	CO	FT COLLINS	------	------	------	7	USH00053005
119	053038	40.26	-103.81	1328.60	CO	FT MORGAN	------	------	------	7	USH00053038
120	053146	39.16	-108.73	1378.90	CO	FRUITA	------	------	------	7	USH00053146
121	053662	38.52	-106.96	2323.80	CO	GUNNISON 3SW	------	------	------	7	USH00053662
122	053951	37.77	-107.10	2757.80	CO	HERMIT 7 ESE	------	------	------	7	USH00053951
123	054076	38.04	-102.12	1033.30	CO	HOLLY	------	------	------	7	USH00054076
124	054770	38.09	-102.63	1105.50	CO	LAMAR	------	------	------	7	USH00054770
125	054834	38.06	-103.21	1185.70	CO	LAS ANIMAS	------	------	------	7	USH00054834
126	055322	37.17	-105.93	2343.90	CO	MANASSA	------	------	------	7	USH00055322
127	055722	38.48	-107.87	1764.50	CO	MONTROSE #2	------	------	------	7	USH00055722
128	057167	38.03	-103.69	1271.00	CO	ROCKY FORD 2 SE	------	------	------	7	USH00057167
129	057337	38.08	-106.14	2347.30	CO	SAGUACHE	------	------	------	7	USH00057337
130	057936	40.48	-106.82	2094.00	CO	STEAMBOAT SPRINGS	------	------	------	7	USH00057936
131	058204	37.94	-107.87	2643.20	CO	TELLURIDE 4WNW	------	------	------	7	USH00058204
132	058429	37.17	-104.48	1837.90	CO	TRINIDAD	------	------	------	7	USH00058429
133	059243	40.05	-102.21	1121.70	CO	WRAY	------	------	------	7	USH00059243
134	062658	41.95	-73.36	167.60	CT	FALLS VILLAGE	------	------	------	5	USH00062658
