StationID,ECO_ID,ECO_NAME
USH00324958,"50802",Canadian Aspen forests and parklands
USH00101956,"50518",North Central Rockies forests
USH00102845,"50518",North Central Rockies forests
USH00103143,"50518",North Central Rockies forests
USH00104831,"50518",North Central Rockies forests
USH00107264,"50518",North Central Rockies forests
USH00107386,"50518",North Central Rockies forests
USH00108137,"50518",North Central Rockies forests
USH00243139,"50518",North Central Rockies forests
USH00244558,"50518",North Central Rockies forests
USH00245015,"50518",North Central Rockies forests
USH00247318,"50518",North Central Rockies forests
USH00455946,"50518",North Central Rockies forests
USH00256135,"50810",Northern mixed grasslands
USH00320941,"50810",Northern mixed grasslands
USH00321871,"50810",Northern mixed grasslands
USH00323287,"50810",Northern mixed grasslands
USH00324418,"50810",Northern mixed grasslands
USH00325220,"50810",Northern mixed grasslands
USH00328792,"50810",Northern mixed grasslands
USH00329445,"50810",Northern mixed grasslands
USH00390020,"50810",Northern mixed grasslands
USH00390128,"50810",Northern mixed grasslands
USH00392927,"50810",Northern mixed grasslands
USH00393029,"50810",Northern mixed grasslands
USH00394037,"50810",Northern mixed grasslands
USH00395456,"50810",Northern mixed grasslands
USH00395481,"50810",Northern mixed grasslands
USH00451504,"50507",Cascade Mountains leeward forests
USH00458059,"50507",Cascade Mountains leeward forests
USH00241722,"50811",Northern short grasslands
USH00241737,"50811",Northern short grasslands
USH00242173,"50811",Northern short grasslands
USH00242689,"50811",Northern short grasslands
USH00243013,"50811",Northern short grasslands
USH00243089,"50811",Northern short grasslands
USH00243110,"50811",Northern short grasslands
USH00243558,"50811",Northern short grasslands
USH00243581,"50811",Northern short grasslands
USH00244345,"50811",Northern short grasslands
USH00244364,"50811",Northern short grasslands
USH00244522,"50811",Northern short grasslands
USH00245338,"50811",Northern short grasslands
USH00245572,"50811",Northern short grasslands
USH00245668,"50811",Northern short grasslands
USH00245690,"50811",Northern short grasslands
USH00245761,"50811",Northern short grasslands
USH00246601,"50811",Northern short grasslands
USH00247382,"50811",Northern short grasslands
USH00248501,"50811",Northern short grasslands
USH00248569,"50811",Northern short grasslands
USH00253615,"50811",Northern short grasslands
USH00322188,"50811",Northern short grasslands
USH00322365,"50811",Northern short grasslands
USH00323207,"50811",Northern short grasslands
USH00324178,"50811",Northern short grasslands
USH00325479,"50811",Northern short grasslands
USH00326015,"50811",Northern short grasslands
USH00326155,"50811",Northern short grasslands
USH00326255,"50811",Northern short grasslands
USH00326315,"50811",Northern short grasslands
USH00327530,"50811",Northern short grasslands
USH00390043,"50811",Northern short grasslands
USH00391972,"50811",Northern short grasslands
USH00392429,"50811",Northern short grasslands
USH00392797,"50811",Northern short grasslands
USH00393217,"50811",Northern short grasslands
USH00393832,"50811",Northern short grasslands
USH00394007,"50811",Northern short grasslands
USH00394516,"50811",Northern short grasslands
USH00395891,"50811",Northern short grasslands
USH00396170,"50811",Northern short grasslands
USH00396597,"50811",Northern short grasslands
USH00396947,"50811",Northern short grasslands
USH00399442,"50811",Northern short grasslands
USH00481905,"50811",Northern short grasslands
USH00485830,"50811",Northern short grasslands
USH00486195,"50811",Northern short grasslands
USH00486660,"50811",Northern short grasslands
USH00488160,"50811",Northern short grasslands
